Report,Label,Printed title / caption,Section no.,Section title,Subsection no.,Subsection title,Printed page,Rows (data),Columns,Domain sheet,Domain,Source note as printed,Export line no.
MDN,TABLE 7,The twelve licensed hospitals and infirmaries of Maguindanao del Norte,6,Stage Four — Referral,6.1,The hospital stock and who owns it,25.0,14,6,D07,Referral and inpatient capacity,"Note. From the project-held DOH/NHFR facility extract (Department of Health, 2026). Service capability is null for all three infirmary records in the source and is reported here by facility class. Two caveats attach to the licence column. First, every licence date in the extract has passed except that of the Cotabato Sanitarium; this is more plausibly interpreted as a stale registry snapshot taken before the 2026 renewal cycle than as a province of unlicensed hospitals, and it must be verified against current DOH-HFSRB records before publication in any external document. It is carried here because it is what the register states. Second, the Datu Blah T. Sinsuat District Hospital is registered in the municipality of Upi, not in the municipality for which it is named; the assignment should be confirmed before the facility is placed on any referral map. Birthing homes add a further 46 beds across the twelve municipalities and are excluded from this table.",715
MDN,EXHIBIT 10,Fifty-six per cent of the province’s beds sit in a national leprosarium,6,Stage Four — Referral,6.2,Eight municipalities with no inpatient bed,25.0,6,12,D07,Referral and inpatient capacity,"Note. Licensed hospital and infirmary bed complement from the project-held DOH/NHFR facility extract (Department of Health, 2026); birthing-home beds are excluded. The Cotabato Sanitarium and General Hospital holds 55.6 per cent of the province’s licensed beds. It is a Department of Health–retained institution established as a leprosarium; it is not a provincial or municipal asset and its admission policy is not set by the province. A further 16.7 per cent sits in two Department of National Defense camp hospitals whose access arrangements for civilians are not documented in any source available to this report. The practical consequence is that of 360 beds nominally available to residents of this province, the beds whose use the Bangsamoro Government can direct number twenty-five. Establishing written access arrangements for the remaining 335 — with the Department of Health, the Department of National Defense and the two district hospitals recorded under national-government sub-classification — costs nothing and is Task 4 of Section 11.",745
MDN,TABLE 8,The FHSIS apparatus at municipal level,7,Stage Five — Follow-Up and the Record,7.2,"The FHSIS apparatus: the region’s strongest, and what that means",28.0,9,3,D08,"Routine reporting, FHSIS and civil registration","Note. Adapted from Ministry of Health–Bangsamoro Autonomous Region in Muslim Mindanao (2025), rural health unit assessment, fieldwork 26 November to 17 December 2025, 68 units across four BARMM areas. Denominators are eleven of twelve municipalities; Sultan Mastura’s submission exists in the raw export but its municipality field records “Sultan Kudarat (Nuling)” while its unit name records “Sultan Mastura,” and it was dropped as a duplicate. Two scored fields — the staffing score and the data-quality score — take an identical value for all 68 units in the region and are constants rather than measurements; they are reported here as the systemic findings they are and are not used in any comparison. Northern Kabuntalan’s blank timeliness and indicator fields are scored as “no report” in the source pivots, which converts a non-response into a zero; its resulting score of 0.30 is a reporting artefact and is not treated as a performance finding.",801
MDN,(unlabelled),## 7.3 Civil registration and the invisible denominator,7,Stage Five — Follow-Up and the Record,7.3,Civil registration and the invisible denominator,28.0,0,7,D08,"Routine reporting, FHSIS and civil registration",,820
MDN,EXHIBIT 11,Five divergences between the administrative record and independent measurement,8,The Reconciliation,,,30.0,5,4,D09,Reconciliation and divergences,"Note. Sources as cited in Sections 3 to 7. Sample sizes are stated wherever a survey estimate rests on fewer than 250 unweighted cases (Philippine Statistics Authority & ICF, 2023). Figures attributed to the 2019 household survey and the 2017 readiness assessment refer to the undivided province of Maguindanao and are so labelled throughout.",848
MDN,TABLE 9,Legal obligations engaged by the findings,9,Governance and Legal Framework,,,32.0,9,4,D10,Governance and legal framework,"Note. One correction of record is carried here. Sections 114 to 117 of the Bangsamoro Local Governance Code are the local health boards provisions; the phrase “Special Health Fund” does not appear anywhere in Bangsamoro Autonomy Act No. 49. The Special Health Fund is created by Section 20 of Republic Act No. 11223, a national statute. Any statement attributing the fund to the Bangsamoro Code — including in earlier provincial diagnostics in this series — should be corrected. A second correction concerns the catchment standard. The one-per-20,000 ratio in the DOH Manual of Standards for Primary Care Facilities is a physician staffing ratio drawn from the National Objectives for Health 2017–2022. Neither RA 7160 nor RA 11223 contains a facility-count standard, and neither should be cited for one; the facility target used in Section 4.2 is that stated in World Bank (2020, p. 130).",877
MDN,EXHIBIT 12,Sequencing: what must be true before the next thing can work,10,"Priorities: sequencing by stage, not by sector",,,34.0,7,4,D11,Priorities and sequencing,"Note. Actions 1, 2, 4 and 7 require no capital and can begin immediately; actions 1, 2 and 5 are the substance of the ninety-day programme in Section 11. Action 3 is low-cost and high-certainty and appears already in the improvement plans of five of the twelve municipalities. Action 6 is the capital programme and is sized in Section 12. The ordering is by dependency, not by importance: action 6 is the largest and most visible, and it is sixth because the register that would site it and the readiness evidence that would specify it do not yet exist.",908
MDN,TABLE 10,The ninety-day validation program,11,Ninety-Day Provincial Validation Program,,,35.0,7,5,D11,Priorities and sequencing,"Note. Capital funding is not required for any of the outlined tasks. Tasks 1, 2, 6 and 7 are analytical; Tasks 4 and 5 are administrative; Task 3 is a field exercise mirroring the enumeration already conducted during the workshop series. Initiation of the capital component of the two-year programme in Section 12 is contingent on the completion of Tasks 1 and 3, which together establish which of the 46 unserved barangays require construction and which require rehabilitation of an existing self-help structure.",935
MDN,EXHIBIT 13,Volumetrics for the two-year program,12,"Two-Year Investment Logic, 2026–2028",12.1,Volumetrics,36.0,2,5,D12,Investment logic and volumetrics,,964
MDN,TABLE 11,"Two-year program: volumetrics, sequencing and financing route",12,"Two-Year Investment Logic, 2026–2028",12.2,The program,36.0,9,6,D12,Investment logic and volumetrics,"Note. Financing routes are named from the sources the municipalities themselves cite in their two-year plans (International Organization for Migration, 2026) and from the standing fiscal instruments established by Mandanas v. Ochoa (2018), the Local Government Code (1991) and the Bangsamoro Organic Law’s Special Development Fund. Each plan action should be routed through the Local Investment Plan for Health, the Annual Investment Program and Sanggunian appropriation, with a specific appropriation line and amount attached. Eighty per cent of actions carrying both a named appropriation line and an amount is the benchmark proposed for the next review; the current provincial position is that no plan action in the entire evidence base carries a peso figure.",988
MDN,TABLE 12,Provincial monitoring indicators,13,Monitoring Framework,,,38.0,20,5,D13,Monitoring indicators,"Note. Baselines are as established in Sections 3 to 7 of this report and inherit the qualifications stated there. Six of the fifteen indicators have no present measured value. That is the intended design: an indicator whose first result is a baseline is more useful than an indicator whose baseline is an artefact. Targets are proposed for discussion by the Provincial Health Board and are not commitments of the Ministry, the programme or its partners. No target is proposed for any indicator whose measurement depends on a data request that has not yet been granted, other than that the request be granted and the measurement begin.",1019
MDN,ANNEX A,"All figures from official sources. Population and barangay counts reconcile exactly to the PSA 2024 Census provincial total of 1,124,811 less the City of Cotabato’s 383,383, and to 221 barangays. The City of Cotabato is printed below the provincial row and is excluded from every provincial total in this report. Shaded rows are the eight municipalities with no inpatient bed of any class. An em-dash in the Beds and Diag columns is a measured zero; an em-dash in the glyph columns indicates no reported figure.",A,"Annex A — Municipal master table, twelve local government units",,,41.0,14,21,D14,"Annexes, master tables and gap registers","Note. Column sources. Pop 2024, Brgys — Philippine Statistics Authority (2025b, 2025c); the twelve municipal values reconcile exactly to 741,428 and to 221 barangays. RHU, BHS, No BHS, Hosp, Beds, Diag — project-held DOH/NHFR facility extract (Department of Health, 2026); the register is incomplete, licensing status is null for three-quarters of records, and eleven rural health unit birthing annexes are typed as independent facilities; these counts are a floor. No BHS is the barangay count less the count of distinct barangays carrying at least one registered station. Pop/RHU is derived; because every municipality carries exactly one registered unit, it equals the municipal population. FIC, FBD, TB CNR, PEN, Stunt, Water, LHB, ESU, DRR — Department of Health (n.d.-a); indicator years differ by column: facility-based delivery is the 2018 indicator year, the last in which the scorecard carried it, and all others are the 2022 indicator year. TB det % is derived as the notification rate divided by the WHO-estimated Philippine incidence of 625 per 100,000 (World Health Organization, 2025). LHB, ESU, DRR are binary scorecard flags rendered ● = yes, ○ = no, — = not reported; the PROVINCE row renders them as fractions. EBDM records participation in the 2026 workshop cycle; all twelve municipalities participated, the only complete provincial cohort in the programme. There is no GIDA column. No geographically isolated and disadvantaged area determination for this province could be obtained from the Department of Health or MOH-BARMM; the gap is recorded as item 5 of Annex C and is not estimated. No municipality in this province reports immunization coverage above 100 per cent, which distinguishes it from its neighbours and indicates that its denominators are internally plausible even where its levels are contested.",1087
MDN,ANNEX B,"The readiness evidence available for each municipality and the resulting planning tier. Tiers sequence validation and planning; they do not authorise capital construction. Population is the PSA 2024 Census. The tier assignment rests on three official-source variables — unserved barangays, catchment excess above the 20,000 planning standard, and the absence of inpatient and diagnostic capacity — and on none of the derived scores in the workshop record.",B,Annex B — Municipality evidence tiers and planning sequence,,,42.0,13,8,D14,"Annexes, master tables and gap registers","Note. Derived for this report from Philippine Statistics Authority (2025b, 2025c), the project-held DOH/NHFR facility extract (Department of Health, 2026), Ministry of Health–BARMM (2025) and International Organization for Migration (2026). Tier 1 — access and capacity: nine municipalities carrying three or more unserved barangays or a population above 100,000. Field-validate the unserved barangays, then station construction and rural health unit augmentation. Tier 2 — readiness: three municipalities — Barira, Matanog and Sultan Mastura — where the station network is substantially complete but the municipality holds no bed and no laboratory; the constraint is referral and readiness rather than first contact, and the instruments are the service-delivery network document and the cold-chain condition survey. No municipality in this province qualifies for a verification tier on the strength of a completed evidence base, and none qualifies for a monitor-and-sustain tier. Three municipalities carry an incomplete evidence position: Northern Kabuntalan filed only a facility inventory and is absent from the consolidated dashboard; Sultan Mastura is missing from every FHSIS pivot because its record is mis-keyed; and Parang filed a facility inventory resolving to a single municipality-wide record. Their apparent positions in any derived scoring are artefacts of reporting and are not treated as performance findings.",1115
MDN,ANNEX C,"The following items could not be obtained. Each is recorded with the office from which it should be requested. In a province created in 2022 and not yet carried as a separate reporting unit in most national datasets, the gap register is more appropriately read as a work programme for data development than as a list of omissions.",C,Annex C — Evidence gap register,,,43.0,16,4,D14,"Annexes, master tables and gap registers",,1142
MDS,(unlabelled),# 1 Executive Summary,1,Executive Summary,,,4.0,0,4,D01,Executive summary and headline panels,,184
MDS,(unlabelled),"| 813,243residents, 2024 Census | 287barangays | 222registered health facilities | 24rural health units — one per municipality |",1,Executive Summary,,,4.0,0,4,D04,"First contact, facilities and catchment",,190
MDS,EXHIBIT 1,"The five stages, and what needs to be checked at each one",1,Executive Summary,,Decisions required of provincial leadership,4.0,5,4,D01,Executive summary and headline panels,"Note. Each claim is evidenced in the section indicated. Compiled from Philippine Statistics Authority (2025a, 2025b); Philippine Statistics Authority and ICF (2023); Department of Health (n.d.); Philippine Health Insurance Corporation (2024); World Bank (2020); Ministry of Health–BARMM (n.d.); and International Organization for Migration (2026).",242
MDS,TABLE 1,Participation in the Maguindanao del Sur cycle,2,"Program, Scope, Evidence and Method",2.1,The program,8.0,3,5,D02,"Evidence base, scope and method",Note. Filing status is taken from the 22 files in the programme's Maguindanao del Sur worksheet folder (21 LGU workbooks and one template). Population and barangay counts are PSA 2024 Census and PSGC. Participation in this province is the second-highest in the programme after Maguindanao del Norte (12 of 12) and far above Lanao del Sur (16 of 40). The three non-filers are not marginal units: Gen. S.K. Pendatun holds the province's largest registered facility network (26) and complete barangay coverage; South Upi holds the province's second-largest population and a 25-bed municipal hospital.,265
MDS,TABLE 2,The five evidence layers and what each can carry,2,"Program, Scope, Evidence and Method",2.3,The five evidence layers,9.0,5,5,D02,"Evidence base, scope and method",,292
MDS,TABLE 3,"Two artefacts, one province",2,"Program, Scope, Evidence and Method",2.5,"The provincial evidence product, and why this report does not adopt it",10.0,6,3,D09,Reconciliation and divergences,,321
MDS,(unlabelled),"Twenty-one municipalities filed. Read as testimony rather than as arithmetic, that record is the only available source located for conditions at the point of service in this province, and several of its statements are specific, checkable and consistent with the official evidence.",2,"Program, Scope, Evidence and Method",2.6,What the workshop record does establish,11.0,0,2,D02,"Evidence base, scope and method",,348
MDS,TABLE 4,What can and cannot be stated about the provincial disease profile,3,Stage One — The Illness,3.1,What can and cannot be stated about disease in this province,12.0,5,4,D03,Disease burden and service coverage,"Note. A ranked cause table for a neighbouring province in this series was attributed to ""World Bank 2020, Table 41, p. 113."" That table does not exist: the string ""Table 41"" does not occur in the World Bank report, which numbers tables by chapter, and printed page 113 carries Table 5.22 on reasons for incomplete vaccination. The attribution should be corrected wherever it appears in the series.",366
MDS,EXHIBIT 2,Child deaths in BARMM fall after the first month rather than during it,3,Stage One — The Illness,3.2,The child-survival signature,12.0,0,2,D03,Disease burden and service coverage,"Note. Deaths per 1,000 live births, ten-year rates. Adapted from Philippine Statistics Authority and ICF (2023), Table 8.3, p. 135. Under-five mortality in the 2022 BARMM estimate was 28 per 1,000. Regional rates use a ten-year period and national comparators five years. The figures are historical and cannot, by themselves, establish under-ascertainment or the relative importance of obstetric and post-neonatal constraints. The 2022 survey used the regional frame then in force.",387
MDS,(unlabelled),"Section 17 of the Local Government Code devolves primary health care to the municipality, and national facility planning carries an expectation of one barangay health station per barangay. The PHFDP 2020 baseline measured the then-ARMM/BARMM footprint at 650 stations against 2,535 barangays, a ratio of 0.3 (Department of Health, 2020b). This is a historical planning baseline, not the current regional denominator. Maguindanao del Sur’s current comparison in this report uses its own PSA barangay count and the project-held station register, subject to reconciliation.",4,Stage Two — First Contact,4.1,The facility stock,16.0,0,4,D04,"First contact, facilities and catchment",,459
MDS,TABLE 5,The registered facility stock of Maguindanao del Sur,4,Stage Two — First Contact,4.1,The facility stock,16.0,7,5,D04,"First contact, facilities and catchment","Note. Project-held DOH/HFSRB facility register, Maguindanao del Sur extract, 222 records. Bed capacity is populated for all 222 rows. The register carries material metadata gaps: licensing status is null for 151 records and licence validity date for 160; 35 government facilities carry no government sub-classification and 38 of 39 private facilities no private sub-classification; 216 of 222 carry no service-capability value; one record is classified private and simultaneously carries a national-government sub-classification. Null licensing status means ""not in the licensing dataset"" and cannot be read as unlicensed.",467
MDS,TABLE 6,Childbirth measured twice,4,Stage Two — First Contact,4.5,Maternal and newborn services,18.0,4,3,D04,"First contact, facilities and catchment","Note. Administrative figures are municipal values from the DOH LGU Health Scorecard; means shown are unweighted unless numerators and denominators are provided. Facility delivery and skilled attendance end in 2018. The 2025 NDHS is the current regional benchmark for facility delivery at 68.6 per cent; the 2022 delivery and attendance values remain historical baselines. The administrative and survey series do not share a denominator, geography, method or year and are not a test of which reporting unit is correct.",531
MDS,TABLE 7,"PhilHealth-accredited health care institutions, BARMM by province",5,Stage Three — Payment,5.2,The accreditation base is the largest in the Bangsamoro,20.0,14,9,D06,"Payment, PhilHealth and financing","Note. Philippine Health Insurance Corporation (2024), accredited health care institutions by province and type as of 31 July 2024. Counts are of accreditations, not distinct facilities — a rural health unit accredited for TB-DOTS, maternity care and Konsulta appears in more than one row. All thirteen row totals and all seven area-column totals reconcile. Maguindanao del Sur holds 26.2 per cent of all BARMM accreditations, the largest single share.",581
MDS,TABLE 8,"Konsulta performance, BARMM, 2021 to May 2024",5,Stage Three — Payment,5.3,The measurement this province does not have,21.0,7,6,D06,"Payment, PhilHealth and financing","Note. Philippine Health Insurance Corporation (2024); Konsulta registrations 2021 to 27 May 2024, first patient encounters January to May 2024. Conversion is derived and understates the true rate, because the numerator covers five months and the denominator forty-one. The published table contains arithmetic inconsistencies in three columns: the provincial rows sum to 717,318 registrations against a stated total of 714,318 (an excess of exactly 3,000), to 37,951 first encounters against a stated 32,098 (an excess of 5,853, 18 per cent), and to ₱6,253,786 paid against a stated ₱6,253,788. Sulu is additionally recorded as paid more than it generated. Any BARMM Konsulta total quoted from this annex should carry this caveat.",618
MDS,TABLE 9,The six licensed hospitals and six infirmaries of Maguindanao del Sur,6,Stage Four — Referral,6.1,The hospital stock and its geography,24.0,13,7,D07,Referral and inpatient capacity,"Note. Project-held DOH/HFSRB facility register. All six infirmaries and three of the six hospitals are privately owned; the province's entire non-government acute inpatient capacity — 224 beds, 34.6 per cent of the acute total — sits outside public control and outside any contracting arrangement identified in this report. Amerol Birthing Home in Datu Paglas (6 beds, private) also carries an expired licence date. Nine further licensed facilities carry a null validity date.",679
MDS,TABLE 10,Licensed bed capacity by class and ownership,6,Stage Four — Referral,6.1,The hospital stock and its geography,24.0,7,6,D07,Referral and inpatient capacity,"Note. Derived from the project-held facility register against the 2024 census population. This report uses the acute inpatient basis of 0.80 per 1,000 where a single figure is required and states the basis wherever a bed ratio appears.",702
MDS,TABLE 11,"The condition of routine reporting, Maguindanao del Sur against the assessed areas",7,Stage Five — Follow-Up and the Record,7.2,The FHSIS apparatus,27.0,14,5,D08,"Routine reporting, FHSIS and civil registration","Note. Ministry of Health–BARMM FHSIS assessment. The file covers only Lanao del Sur, Maguindanao del Sur, Maguindanao del Norte and the Special Geographic Area; no BARMM-wide comparison is possible from it. Two municipalities have no FHSIS record: Datu Anggal Midtimbang has none, and Mamasapano's unit is filed under Mangudadatu, so provincial coverage is 22 of 24 rather than 24. Item denominators differ from the assessed base: the scored capacity file covers 22 Maguindanao del Sur units while the underlying survey master carries 24 rows for the province, of which 23 and 24 respectively answered the policy-issuance and budget items. Denominators are printed as recorded and should not be read as a single base. Three scoring defects apply to every unit in the region and cap the composite: the FHSIS-unit component is empty for all 68 scored units although every unit answered yes; the dissemination component is empty for all 68; and the data-quality component reads ""with issue"" for all 68 without exception, carrying no discriminating power.",765
MDS,EXHIBIT 6,Five divergences between the administrative record and independent measurement,8,The Reconciliation,,,29.0,5,4,D09,Reconciliation and divergences,"Note. Sources as cited in §§3 to 7. Sample sizes are stated wherever a survey estimate rests on fewer than 250 unweighted cases. All World Bank figures are undivided-Maguindanao values on 2017 and 2019 fieldwork, used as proxies under the rule at §2.4.",808
MDS,TABLE 12,Legal obligations engaged by the findings,9,Governance and Legal Framework,,,31.0,7,4,D10,Governance and legal framework,"Note. Statutory texts were verified against the published instruments: Republic Act No. 11550 (LawPhil transcription of the Official Gazette text and Supreme Court E-Library), Republic Act No. 11054, Republic Act No. 11223, and the 304-page published text of Bangsamoro Autonomy Act No. 49 (Bangsamoro Parliament, publication of 10 January 2024). Two corrections to citations used elsewhere in this series are carried here. First, the phrase ""Special Health Fund"" appears zero times in the Bangsamoro Local Governance Code; the Fund is created by Republic Act No. 11223, §20, a national statute, and the correct BARMM authority for provincial health system management is BAA 49, §512(II)(c)(8). Second, the 1:20,000 ratio in the DOH Manual of Standards for Primary Care Facilities is a physician staffing ratio, not a facility-count standard; the facility target used in this report is the one stated in World Bank (2020, p. 130). The implementing rules of BAA 49, required within three months of effectivity, were not obtained.",835
MDS,EXHIBIT 7,Sequencing: what should be in place before the next action can work,10,"Priorities: sequencing by stage, not by sector",,,33.0,7,4,D11,Priorities and sequencing,"Note. Actions 1, 2, 3, 5 and 7 require no capital and can begin immediately; actions 1, 2 and 3 are the substance of the ninety-day programme in §11. Action 4 is low-cost and high-certainty. Action 6 is the capital programme and is sized in §12.",858
MDS,TABLE 13,The validation programme,11,Provincial Validation Programme,,,34.0,8,5,D11,Priorities and sequencing,"Note. Tasks 1, 2, 3, 6 and 8 are analytical or administrative requests; Tasks 4 and 5 are administrative actions; Task 7 repeats an activity the programme has already delivered twenty-one times in this province. Initiation of the capital programme at §12 is contingent on completion of Tasks 1, 3, 5 and 6.",885
MDS,EXHIBIT 8,What the two-year programme should deliver,12,"Two-Year Investment Logic, 2026–2028",12.1,Volumetrics,35.0,1,4,D12,Investment logic and volumetrics,,913
MDS,TABLE 14,"Two-year programme: volumetrics, sequencing and financing route",12,"Two-Year Investment Logic, 2026–2028",12.2,The programme,35.0,8,6,D12,Investment logic and volumetrics,"Note. Financing routes are named from the sources the municipalities themselves cite in their two-year plans and from the standing fiscal instruments established by Mandanas v. Ochoa (2018) and the Local Government Code. Each plan action should be routed through the Local Investment Plan for Health, the Annual Investment Program and Sanggunian appropriation, with a specific appropriation line and amount attached.",931
MDS,(unlabelled),"On that basis the first tranche is the seven municipalities carrying seven or more uncovered barangays, of which two also carry the province's thinnest networks:",12,"Two-Year Investment Logic, 2026–2028",12.3,Allocation basis,36.0,8,6,D12,Investment logic and volumetrics,,957
MDS,ANNEX A,"Population and barangays: PSA 2024 Census and PSGC. Facilities and beds: project-held DOH/HFSRB register. Health indicators: DOH LGU Health Scorecard, 2022 indicator year except facility-based delivery (2018). ● filed an EBDM workbook; ○ did not file. No GIDA column appears, for the reason at §4.4.",,"Annex A — Municipal master table, twenty-four local government units",,,,25,20,D14,"Annexes, master tables and gap registers",,1061
MDS,ANNEX B,"How much is known about each municipality, and from which layers. ""Official"" denotes the census, scorecard and facility register, available for all 24. ""Workshop"" denotes the EBDM record. ""FHSIS"" denotes the MOH-BARMM reporting assessment.",,Annex B — Evidence position by municipality,,,,3,6,D14,"Annexes, master tables and gap registers",,1098
MDS,ANNEX C,"What is not known, why, and the exact source that would close it. Items are ordered by consequence for decision-making.",,Annex C — Evidence gap register,,,,16,4,D14,"Annexes, master tables and gap registers",,1113
SGA,(unlabelled),# 1. Executive Summary,1,Executive Summary,,,3.0,3,4,D01,Executive summary and headline panels,,114
SGA,EXHIBIT 1,"The five stages, and what fails at each one",1,Executive Summary,1.2,Seven findings,3.0,5,4,D01,Executive summary and headline panels,"Note. Compiled for this report from the sources cited at each stage. The stages are serial: an unaddressed constraint at an early stage blocks success at a later one. In this area the pattern differs from the rest of the series — Stage Two is substantially solved and Stages Three, Four and Five are substantially unbuilt, which is why the sequencing at Section 10 begins with entitlement rather than with construction.",145
SGA,TABLE 2,Completion of required worksheet outputs across the cohort,2,"Programme, Scope, Evidence and Method",2.1,Scope and the unit of analysis,6.0,5,4,D02,"Evidence base, scope and method","Note. Adapted from International Organization for Migration (2026a). The Special Geographic Area is a complete cohort, matched in this series only by Maguindanao del Norte. Eleven quality-control flags remain open, all of low severity: one duplicate-workbook resolution recorded against two source rows (Tugunan), two non-standard priority values (Kapalawan) and seven theme-mismatch notices. Completion of the instrument is not evidence of the condition it describes.",210
SGA,TABLE 1,The five evidence layers and what each can carry,2,"Programme, Scope, Evidence and Method",2.2,The five evidence layers,6.0,5,5,D02,"Evidence base, scope and method","Note. Compiled for this report. Layers are ordered by independence from the reporting unit, not by quality. No layer is discarded; each is used for what it can carry and is named wherever it carries a figure. Where Layers C and E disagree, both are printed (Table 6).",227
SGA,TABLE 3,What can and cannot be stated about disease in the Special Geographic Area,3,Stage One — The Illness,3.1,What is known about disease in the Special Geographic Area,8.0,10,4,D03,Disease burden and service coverage,"Note. Compiled for this report from World Bank (2020, pp. 83–120) and International Organization for Migration (2026a). This table replaces the leading-cause profile carried in the other diagnostics in this series. The absence of a cause profile for a population of 214,703 is itself the finding, and it is routed to Annex C rather than filled by estimation.",292
SGA,TABLE 4,"The six mother municipalities: the pre-transfer record, 2022",3,Stage One — The Illness,3.2,"The mother-municipality series: a ceiling, not a baseline",8.0,6,9,D03,Disease burden and service coverage,"Note. Adapted from Department of Health (n.d.), LGU Health Scorecard municipal dataset, 2022 indicator year, Region XII / Cotabato (North Cotabato). These are whole-municipality figures. The 63 transferred barangays are a subset of each, and the retained areas are on average the more accessible ones; the series is a ceiling on the pre-transfer condition of the transferred barangays, not a baseline for them. † Midsayap's health budget share is recorded as 427, which cannot be a percentage; it is printed as it appears and is not used. Pikit recorded a rural health unit and health centre catchment of 176,595 in the same year against a target of 20,000.",316
SGA,EXHIBIT 2,What the last survey to reach this territory found,3,Stage One — The Illness,3.3,What can and cannot be said at municipal level,8.0,12,4,D03,Disease burden and service coverage,"Note. Adapted from World Bank (2020, pp. 83–120). Four qualifications apply to every figure in this exhibit. The fieldwork was conducted in 2019, five years before the eight municipalities existed, and measures the population under Cotabato Province administration. The stratum was analysed without survey weights. Its published sampling-frame row (Table 5.1) describes 543 barangays and 313,578 households — the whole of Cotabato Province — rather than the 63 transferred barangays, so it cannot be established that all 13 sample barangays fall inside the area; the narrative nonetheless labels the stratum “the North Cotabato BARMM barangays” throughout. Figures are not disaggregable below the stratum. All are carried at Tier B.",344
SGA,EXHIBIT 3,Sixty-three of sixty-three barangays carry a service point,4,Stage Two — First Contact,4.1,Complete barangay coverage: the finding that inverts the series,13.0,1,4,D04,"First contact, facilities and catchment","Note. Derived. Barangay counts are those constituted by Bangsamoro Autonomy Acts Nos. 41–48 and confirmed in the Philippine Standard Geographic Code (Philippine Statistics Authority, 2025a): Pahamuddin 12, Tugunan 9, and seven each in the remaining six municipalities. Service points are the 66 facility records returned by the municipalities (International Organization for Migration, 2026a), distributed across all 63 barangays; Malidegao's Batulawan holds both the rural health unit and a station, and two records carry a location field that is a parse artefact rather than a barangay name. The regional comparator is World Bank (2020, pp. 130–131): “While the DOH-ARMM had established a standard of one BHS per barangay, just seven RHUs (5.7 percent) met this standard; 74 percent of RHUs had fewer than one BHS for every two barangays.” Coverage here means the physical presence of a service point. It does not mean staffing, equipment, opening hours, or entitlement to payment, and on the last of those the finding is uniform: none of the 66 is accredited. The six unregistered barangays are Barungis, Buliok and Bulol (Ligawasan) and Balong, Macabual and Macasendeg (Tugunan). Barangay names are given as the municipalities render them; the register spells three of them differently — Bagoenged as BAGOAINGUD, Gokotan as GOKOTON and Dungguan as DUNGUAN — and the variants were matched on inspection, not on string equality.",412
SGA,TABLE 5,"First-contact infrastructure by municipality, ranked by population",4,Stage Two — First Contact,4.2,"The facility stock, and the two registers that disagree",13.0,9,13,D04,"First contact, facilities and catchment","Note. Population and barangay counts from Philippine Statistics Authority (2025a), reconciling exactly to 214,703 and 63. Service points, facility type, cold chain and accreditation from International Organization for Migration (2026a), the municipalities' own enumeration. “Registered bgys” is the count of barangays carrying at least one entry in the DOH facility register (International Organization for Migration, 2026c); the six with none are Barungis, Buliok and Bulol in Ligawasan and Balong, Macabual and Macasendeg in Tugunan. Population per rural health unit is computed on the units the municipalities report operating; Kapalawan and Nabalawag report none, and the area figure of 35,784 divides the whole population by six. On the register's nine units the area figure is 23,856. Cold chain counts facilities recorded functional; six Nabalawag records carry no entry and are not counted as either. Accreditation is zero in every municipality and every class.",429
SGA,TABLE 6,"The two facility registers compared, and how each disagreement is treated",4,Stage Two — First Contact,4.2,"The facility stock, and the two registers that disagree",13.0,9,4,D04,"First contact, facilities and catchment",Note. Register figures compiled from International Organization for Migration (2026c); enumeration figures from International Organization for Migration (2026a). A third count — 105 rows — appears in the consolidated workbook and is not a facility count: 39 of those rows are blank merged-cell spacers in a single municipality's workbook and carry no value in any field (§2.5).,448
SGA,EXHIBIT 4,The missing tier,4,Stage Two — First Contact,4.3,The missing tier,13.0,8,5,D04,"First contact, facilities and catchment","Note. Register from International Organization for Migration (2026c); enumeration from International Organization for Migration (2026a). The area's entire licensed inpatient capacity is four beds in two private birthing homes — Akhirah Birthing Home, Manaulanan, Tugunan, and AMJ Paanakan, Fort Pikit, Malidegao — each recorded “With License” with a licence validity date of 31 December 2025. Two barangay health stations are recorded “Without License” and the remaining 64 records carry a null licensing status. The expired dates are more plausibly a stale registry extract than a lapsed licence and must be verified against current DOH-HFSRB records before external publication; they are carried here because they are what the register states. The Special Geographic Area appears nowhere in PhilHealth's return of 347 accredited health care institutions at 31 July 2024, which includes 58 hospitals (Philippine Health Insurance Corporation, 2024).",489
SGA,EXHIBIT 5,"Population per rural health unit against the 1:20,000 standard",4,Stage Two — First Contact,4.4,"Catchment adequacy, and the denominator defect",13.0,9,5,D04,"First contact, facilities and catchment","Note. Derived. Population from Philippine Statistics Authority (2025a). The target is the DOH-ARMM density reported at World Bank (2020, p. 130): “one RHU per 20,000 people and one BHS per barangay.” The same 1:20,000 figure is used in the source both as a facility-density target and as a physician staffing standard (World Bank, 2020, p. 132); it is applied here only as a facility target. On the register's nine units, five municipalities holding 142,833 residents — 66.5 per cent of the area — exceed the standard. On the municipalities' six, Kapalawan and Nabalawag (54,691 residents) have no unit at all. The requirement of eleven units is 214,703 divided by 20,000, rounded up. Which basis is correct is unresolved and is Task 3; both are carried because the difference determines whether the facility deficit is two units or five.",515
